date,twoPM,fourPM,ninePM
"'Mar 25, 2010'",'210','832','328'
"'Mar 26, 2010'",'749','534','436'
"'Mar 27, 2010'",'586','529','041'
"'Mar 28, 2010'",'678','085','863'
"'Mar 29, 2010'",'811','797','108'
"'Mar 30, 2010'",'485','759','710'
"'Mar 31, 2010'",'832','848','743'
"'Apr 01, 2010'",'N/D','N/D','N/D'
"'Apr 02, 2010'",'N/D','N/D','N/D'
"'Apr 03, 2010'",'N/D','N/D','N/D'
"'Apr 04, 2010'",'N/D','N/D','N/D'
"'Apr 05, 2010'",'390','306','750'
"'Apr 06, 2010'",'993','347','251'
"'Apr 07, 2010'",'688','269','112'
"'Apr 08, 2010'",'442','630','721'
"'Apr 09, 2010'",'395','999','689'
"'Apr 10, 2010'",'124','448','933'
"'Apr 11, 2010'",'552','480','320'
"'Apr 12, 2010'",'203','509','203'
"'Apr 13, 2010'",'686','153','344'
"'Apr 14, 2010'",'349','340','021'
"'Apr 15, 2010'",'345','565','913'
"'Apr 16, 2010'",'780','842','322'
"'Apr 17, 2010'",'427','083','760'
"'Apr 18, 2010'",'562','664','294'
"'Apr 19, 2010'",'644','590','551'
"'Apr 20, 2010'",'730','895','047'
"'Apr 21, 2010'",'239','209','253'
"'Apr 22, 2010'",'087','841','999'
"'Apr 23, 2010'",'361','011','955'
"'Apr 24, 2010'",'335','888','173'
"'Apr 25, 2010'",'725','144','585'
"'Apr 26, 2010'",'014','486','504'
"'Apr 27, 2010'",'203','823','462'
"'Apr 28, 2010'",'649','094','030'
"'Apr 29, 2010'",'007','483','992'
"'Apr 30, 2010'",'111','505','476'
"'May 01, 2010'",'783','197','519'
"'May 02, 2010'",'098','141','603'
"'May 03, 2010'",'671','131','603'
"'May 04, 2010'",'391','004','639'
"'May 05, 2010'",'638','162','525'
"'May 06, 2010'",'095','530','573'
"'May 07, 2010'",'436','757','744'
"'May 08, 2010'",'518','232','471'
"'May 09, 2010'",'490','773','318'
"'May 10, 2010'",'194','298','936'
"'May 11, 2010'",'387','584','811'
"'May 12, 2010'",'419','732','686'
"'May 13, 2010'",'274','976','973'
"'May 14, 2010'",'416','153','688'
"'May 15, 2010'",'753','722','459'
"'May 16, 2010'",'146','639','579'
"'May 17, 2010'",'966','237','030'
"'May 18, 2010'",'316','139','225'
"'May 19, 2010'",'045','351','402'
"'May 20, 2010'",'235','294','478'
"'May 21, 2010'",'098','681','485'
"'May 22, 2010'",'302','191','552'
"'May 23, 2010'",'261','984','475'
